accident_id,county,date,time,latitude,longitude,severity,casualties,vehicles_involved,road_type,lighting,datetime,hour,day_of_week,month,is_weekend,is_rush_hour,accident_severity_index,temperature_mean,precipitation_sum,windspeed_max,population,traffic_index,rain_flag,wind_flag,weather_impact_score,accidents_per_100k_proxy
ACC-000001,Waterford,2024-12-17,10:25:00,52.18116922958826,-7.099872767746617,2,2,1,Rural,Daylight,2024-12-17 10:25:00,10,Tuesday,12,False,0,1.8,11.2,11.5,45.0,127000,0.44,1,1,6.5249999999999995,1.1338582677165354
ACC-000002,Cork,2024-07-01,08:10:00,51.92655056053512,-8.544343397030659,3,2,4,Urban,Daylight,2024-07-01 08:10:00,8,Monday,7,False,1,2.95,14.2,0.0,19.5,584000,0.72,0,0,0.585,0.2945205479452055
ACC-000003,Kilkenny,2023-10-31,15:09:00,52.64482823107587,-7.279066225773048,2,0,3,Urban,Daylight,2023-10-31 15:09:00,15,Tuesday,10,False,0,1.7000000000000002,8.3,9.0,19.8,103000,0.4,1,0,5.069,1.3592233009708736
ACC-000004,Dublin,2024-08-21,03:44:00,53.31906543625571,-6.32540181825983,3,4,1,Urban,Daylight,2024-08-21 03:44:00,3,Wednesday,8,False,0,2.8500000000000005,15.0,2.2,25.6,1453000,1.0,1,1,1.758,0.13764624913971094
ACC-000005,Dublin,2025-01-21,11:19:00,53.38238925609832,-6.313540776583095,1,1,2,Rural,Daylight,2025-01-21 11:19:00,11,Tuesday,1,False,0,1.2000000000000002,6.5,0.0,11.8,1453000,1.0,0,0,1.229,0.13764624913971094
ACC-000006,Dublin,2023-09-20,16:38:00,53.3671471639214,-6.209796941932916,1,1,3,Rural,Darkness,2023-09-20 16:38:00,16,Wednesday,9,False,1,1.4000000000000001,15.4,0.9,35.6,1453000,1.0,0,1,1.473,0.13764624913971094
ACC-000007,Cork,2024-07-07,13:02:00,51.95659670127549,-8.610229581729264,1,2,1,Rural,Daylight,2024-07-07 13:02:00,13,Sunday,7,True,0,1.25,12.0,2.9,8.3,584000,0.72,1,0,1.5539999999999998,0.2945205479452055
ACC-000008,Galway,2023-04-10,13:47:00,53.32217855287543,-9.07210434599053,1,0,1,Rural,Daylight,2023-04-10 13:47:00,13,Monday,4,False,0,0.75,8.5,7.9,34.6,292000,0.55,1,1,4.968,0.5308219178082193
ACC-000009,Dublin,2025-07-25,06:55:00,53.359312381464605,-6.210252768482613,1,1,1,Urban,Darkness,2025-07-25 06:55:00,6,Friday,7,False,0,1.0,17.3,1.0,16.5,1453000,1.0,0,0,0.945,0.13764624913971094
ACC-000010,Dublin,2024-01-02,00:06:00,53.32163585958784,-6.259300470501785,1,0,2,Urban,Daylight,2024-01-02 00:06:00,0,Tuesday,1,False,0,0.9500000000000001,9.0,9.3,37.7,1453000,1.0,1,1,5.566000000000001,0.13764624913971094
ACC-000011,Cork,2023-07-02,09:14:00,51.81167325165461,-8.581415968988352,2,1,1,Motorway,Darkness,2023-07-02 09:14:00,9,Sunday,7,True,1,1.55,14.2,0.1,23.5,584000,0.72,0,0,0.75,0.2945205479452055
ACC-000012,Limerick,2024-05-15,06:45:00,52.60778293919941,-8.64313500462941,2,1,2,Urban,Darkness,2024-05-15 06:45:00,6,Wednesday,5,False,0,1.75,14.0,0.4,16.6,210000,0.5,0,0,0.678,0.7142857142857142
ACC-000013,Cork,2025-02-09,04:43:00,51.81173652873669,-8.46982963938289,2,1,1,Rural,Daylight,2025-02-09 04:43:00,4,Sunday,2,True,0,1.55,4.7,0.1,22.6,584000,0.72,0,0,2.048,0.2945205479452055
ACC-000014,Limerick,2023-06-03,14:05:00,52.67699980103831,-8.517964993980765,2,0,2,Urban,Daylight,2023-06-03 14:05:00,14,Saturday,6,True,0,1.5,16.7,0.0,15.4,210000,0.5,0,0,0.46199999999999997,0.7142857142857142
ACC-000015,Dublin,2023-07-11,14:47:00,53.26719883114662,-6.209487924254848,1,0,1,Urban,Darkness,2023-07-11 14:47:00,14,Tuesday,7,False,0,0.75,16.0,1.4,19.9,1453000,1.0,1,0,1.2269999999999999,0.13764624913971094
ACC-000016,Galway,2024-05-26,18:03:00,53.29556456599656,-9.13596304960255,2,3,5,Urban,Daylight,2024-05-26 18:03:00,18,Sunday,5,True,1,2.85,12.2,9.8,21.7,292000,0.55,1,0,5.061,0.5308219178082193
ACC-000017,Cork,2024-08-19,12:50:00,51.90792291404672,-8.488290786963095,1,0,3,Urban,Daylight,2024-08-19 12:50:00,12,Monday,8,False,0,1.1500000000000001,15.9,7.4,30.1,584000,0.72,1,1,4.2330000000000005,0.2945205479452055
ACC-000018,Limerick,2023-05-11,06:14:00,52.72276437066139,-8.666643647883133,1,3,2,Urban,Daylight,2023-05-11 06:14:00,6,Thursday,5,False,0,1.7000000000000002,11.8,2.1,22.3,210000,0.5,1,0,1.6139999999999999,0.7142857142857142
ACC-000019,Galway,2024-08-21,08:18:00,53.326594380772455,-9.026003922711531,3,3,2,Urban,Daylight,2024-08-21 08:18:00,8,Wednesday,8,False,1,2.8000000000000003,15.2,7.8,37.6,292000,0.55,1,1,4.638,0.5308219178082193
ACC-000020,Kerry,2023-07-17,03:31:00,52.16485527506333,-9.440572699487166,1,0,1,Motorway,Darkness,2023-07-17 03:31:00,3,Monday,7,False,0,0.75,13.9,9.9,14.8,156000,0.42,1,0,4.899,0.9102564102564101
ACC-000021,Galway,2024-05-29,07:01:00,53.296425386307696,-8.93393952064032,3,1,4,Urban,Darkness,2024-05-29 07:01:00,7,Wednesday,5,False,1,2.7,13.7,0.7,23.2,292000,0.55,0,0,1.011,0.5308219178082193
ACC-000022,Dublin,2023-02-04,02:04:00,53.437486657534535,-6.348863654563479,4,2,1,Urban,Darkness,2023-02-04 02:04:00,2,Saturday,2,True,0,2.9000000000000004,8.5,0.6,25.4,1453000,1.0,0,1,1.407,0.13764624913971094
ACC-000023,Kerry,2024-06-30,12:26:00,52.1599350944141,-9.515384896537851,1,1,3,Urban,Daylight,2024-06-30 12:26:00,12,Sunday,6,True,0,1.4000000000000001,12.0,7.5,16.1,156000,0.42,1,0,3.858,0.9102564102564101
ACC-000024,Limerick,2025-04-18,13:25:00,52.58421643693563,-8.624249480592447,1,0,3,Urban,Darkness,2025-04-18 13:25:00,13,Friday,4,False,0,1.1500000000000001,9.1,30.7,26.7,210000,0.5,1,1,14.841,0.7142857142857142
